DATETIME,CATEGORY,DESCRIPTION,UNIT_PRICE,QUANTITY,PAYMENT_TYPE,CARD_NUM,EMPLOYEE_ID
2023-04-01 05:10:32,sandwiches,ROAST BEEF SANDWICH,5.99,2,cash,-,059-60-8333
2023-04-01 05:14:42,drinks,CAPPUCCINO,9.99,1,credit card,30200879260628,279-94-1900
2023-04-01 05:22:33,drinks,CAPPUCCINO,9.99,2,credit card,3527539654654552,813-95-6575
2023-04-01 05:23:38,drinks,CAFFÈ LATTE,8.99,3,credit card,213104083610108,279-94-1900
2023-04-01 05:32:13,drinks,CAPPUCCINO,9.99,3,cash,-,813-95-6575
2023-04-01 05:42:26,sandwiches,NUTELLA SANDWICH,5.99,1,credit card,36758692015226,813-95-6575
2023-04-01 05:43:57,sandwiches,ROAST BEEF SANDWICH,5.99,1,cash,-,279-94-1900
2023-04-01 05:56:40,sandwiches,NUTELLA SANDWICH,5.99,1,credit card,4193139104482,279-94-1900
2023-04-01 06:04:06,sandwiches,NUTELLA SANDWICH,5.99,2,cash,-,059-60-8333
2023-04-01 06:18:52,drinks,CAPPUCCINO,9.99,1,cash,-,813-95-6575
2023-04-01 06:19:37,sandwiches,EGG SANDWICH,5.99,2,credit card,30452080622845,279-94-1900
2023-04-01 06:20:18,drinks,CAPPUCCINO,9.99,2,cash,-,813-95-6575
2023-04-01 06:21:10,sandwiches,ROAST BEEF SANDWICH,5.99,1,cash,-,279-94-1900
2023-04-01 06:21:48,drinks,CAFFÈ LATTE,8.99,3,cash,-,059-60-8333
2023-04-01 06:23:37,drinks,ESPRESSO,7.99,2,credit card,4540735600031843998,059-60-8333
2023-04-01 06:27:34,drinks,CAFFÈ LATTE,8.99,1,credit card,4014404576925,279-94-1900
2023-04-01 06:28:32,sandwiches,EGG SANDWICH,5.99,1,cash,-,813-95-6575
2023-04-01 06:31:24,drinks,CAFFÈ MOCHA,9.55,1,credit card,4623472080458873987,059-60-8333
2023-04-01 06:32:56,sandwiches,ROAST BEEF SANDWICH,5.99,2,credit card,676117805116,279-94-1900
2023-04-01 06:37:31,sandwiches,GRILLED CHEESE,5.99,3,cash,-,279-94-1900
2023-04-01 06:42:51,sandwiches,ROAST BEEF SANDWICH,5.99,2,cash,-,279-94-1900
2023-04-01 06:45:41,sandwiches,EGG SANDWICH,5.99,2,credit card,4948196865804087597,059-60-8333
2023-04-01 06:46:02,sandwiches,ROAST BEEF SANDWICH,5.99,2,cash,-,813-95-6575
2023-04-01 06:47:43,drinks,CAFFÈ LATTE,8.99,1,credit card,38758650588808,279-94-1900
2023-04-01 06:48:34,sandwiches,ROAST BEEF SANDWICH,5.99,2,credit card,4184619289753870,279-94-1900
2023-04-01 06:54:53,drinks,CAPPUCCINO,9.99,2,credit card,502070498030,279-94-1900
2023-04-01 06:56:18,drinks,ESPRESSO,7.99,2,credit card,2247138652391191,813-95-6575
2023-04-01 06:56:29,sandwiches,NUTELLA SANDWICH,5.99,1,cash,-,813-95-6575
2023-04-01 06:58:36,sandwiches,GRILLED CHEESE,5.99,2,credit card,4966495572701,279-94-1900
2023-04-01 07:02:35,drinks,FRAPPÉ,11.05,2,cash,-,059-60-8333
2023-04-01 07:04:08,sandwiches,EGG SANDWICH,5.99,1,credit card,180040444508947,279-94-1900
2023-04-01 07:04:12,drinks,CAFFÈ MOCHA,9.55,2,cash,-,279-94-1900
2023-04-01 07:07:12,drinks,ICED MOCHA,10.99,1,credit card,4443974581644148099,813-95-6575
2023-04-01 07:07:47,drinks,FRAPPÉ,11.05,1,credit card,4575620195443869172,279-94-1900
2023-04-01 07:11:52,drinks,CAFFÈ LATTE,8.99,1,cash,-,813-95-6575
2023-04-01 07:12:42,drinks,ESPRESSO,7.99,1,cash,-,279-94-1900
2023-04-01 07:19:31,drinks,CAFFÈ LATTE,8.99,2,credit card,30126576702010,279-94-1900
2023-04-01 07:21:20,drinks,CAFFÈ MOCHA,9.55,2,credit card,36081954191902,279-94-1900
2023-04-01 07:22:54,drinks,ICED MOCHA,10.99,2,credit card,4255904957608281,059-60-8333
2023-04-01 07:24:59,sandwiches,NUTELLA SANDWICH,5.99,1,cash,-,279-94-1900
2023-04-01 07:25:15,drinks,ICED MOCHA,10.99,1,cash,-,059-60-8333
2023-04-01 07:27:44,sandwiches,EGG SANDWICH,5.99,2,credit card,2701008141655879,279-94-1900
2023-04-01 07:28:57,sandwiches,EGG SANDWICH,5.99,1,credit card,6011583438090838,279-94-1900
2023-04-01 07:29:01,drinks,CAFFÈ LATTE,8.99,1,cash,-,279-94-1900
2023-04-01 07:29:05,drinks,ICED MOCHA,10.99,2,cash,-,279-94-1900
2023-04-01 07:31:02,sandwiches,GRILLED CHEESE,5.99,2,cash,-,279-94-1900
2023-04-01 07:33:43,drinks,CAFFÈ MOCHA,9.55,1,cash,-,059-60-8333
2023-04-01 07:34:10,sandwiches,ROAST BEEF SANDWICH,5.99,1,credit card,3547415435157841,813-95-6575
2023-04-01 07:34:46,sandwiches,ROAST BEEF SANDWICH,5.99,2,credit card,3563400009551602,279-94-1900
2023-04-01 07:35:33,sandwiches,EGG SANDWICH,5.99,1,cash,-,279-94-1900
2023-04-01 07:36:22,sandwiches,EGG SANDWICH,5.99,1,credit card,4204505900673728213,813-95-6575
2023-04-01 07:36:32,sandwiches,NUTELLA SANDWICH,5.99,1,cash,-,059-60-8333
2023-04-01 07:37:38,sandwiches,GRILLED CHEESE,5.99,1,cash,-,279-94-1900
2023-04-01 07:38:30,sandwiches,GRILLED CHEESE,5.99,1,credit card,4411158499972587,279-94-1900
2023-04-01 07:40:30,drinks,ESPRESSO,7.99,1,credit card,3511629769541592,813-95-6575
2023-04-01 07:41:52,drinks,CAFFÈ LATTE,8.99,1,credit card,5525993381146860,813-95-6575
2023-04-01 07:43:50,sandwiches,NUTELLA SANDWICH,5.99,1,credit card,4013920162938746,279-94-1900
2023-04-01 07:51:02,sandwiches,ROAST BEEF SANDWICH,5.99,2,credit card,3543395852677857,813-95-6575
2023-04-01 07:51:17,drinks,ESPRESSO,7.99,2,credit card,5285586498709289,279-94-1900
2023-04-01 07:56:21,drinks,CAPPUCCINO,9.99,2,cash,-,813-95-6575
2023-04-01 07:56:48,drinks,ICED MOCHA,10.99,1,credit card,38953110107063,813-95-6575
2023-04-01 07:56:56,sandwiches,GRILLED CHEESE,5.99,2,credit card,4220868289373074,813-95-6575
2023-04-01 07:57:08,drinks,CAFFÈ MOCHA,9.55,1,cash,-,059-60-8333
2023-04-01 07:58:55,sandwiches,GRILLED CHEESE,5.99,2,credit card,2433196053105911,813-95-6575
2023-04-01 08:01:13,drinks,CAPPUCCINO,9.99,1,credit card,373976847739463,813-95-6575
2023-04-01 08:06:04,sandwiches,EGG SANDWICH,5.99,2,cash,-,279-94-1900
2023-04-01 08:11:02,sandwiches,GRILLED CHEESE,5.99,1,credit card,3551444965551374,279-94-1900
2023-04-01 08:13:55,sandwiches,NUTELLA SANDWICH,5.99,2,credit card,2624084032433936,279-94-1900
2023-04-01 08:14:37,sandwiches,GRILLED CHEESE,5.99,2,credit card,38540477989389,279-94-1900
2023-04-01 08:15:05,sandwiches,EGG SANDWICH,5.99,2,credit card,3537893674023944,059-60-8333
2023-04-01 08:15:22,sandwiches,EGG SANDWICH,5.99,1,cash,-,279-94-1900
2023-04-01 08:19:31,drinks,CAPPUCCINO,9.99,3,cash,-,813-95-6575
2023-04-01 08:20:02,drinks,ESPRESSO,7.99,2,cash,-,279-94-1900
2023-04-01 08:22:25,drinks,CAFFÈ LATTE,8.99,3,cash,-,813-95-6575
2023-04-01 08:26:07,sandwiches,NUTELLA SANDWICH,5.99,1,credit card,6011605006420384,279-94-1900
2023-04-01 08:27:55,sandwiches,ROAST BEEF SANDWICH,5.99,2,cash,-,813-95-6575
2023-04-01 08:29:35,sandwiches,EGG SANDWICH,5.99,1,credit card,180059403567694,279-94-1900
2023-04-01 08:30:39,sandwiches,ROAST BEEF SANDWICH,5.99,1,credit card,4028043582648895,279-94-1900
2023-04-01 08:31:17,sandwiches,GRILLED CHEESE,5.99,2,credit card,343695610356415,813-95-6575
2023-04-01 08:36:24,drinks,CAPPUCCINO,9.99,2,cash,-,279-94-1900
2023-04-01 08:36:40,sandwiches,NUTELLA SANDWICH,5.99,1,credit card,4835929376429,059-60-8333
2023-04-01 08:38:08,sandwiches,NUTELLA SANDWICH,5.99,2,cash,-,279-94-1900
2023-04-01 08:38:36,sandwiches,NUTELLA SANDWICH,5.99,2,credit card,6011185569977740,059-60-8333
2023-04-01 08:38:40,sandwiches,ROAST BEEF SANDWICH,5.99,3,credit card,376234542453866,059-60-8333
2023-04-01 08:39:35,drinks,FRAPPÉ,11.05,2,credit card,180087806536297,059-60-8333
2023-04-01 08:40:47,sandwiches,NUTELLA SANDWICH,5.99,2,cash,-,279-94-1900
2023-04-01 08:45:15,sandwiches,ROAST BEEF SANDWICH,5.99,1,credit card,343298773025925,813-95-6575
2023-04-01 08:53:10,drinks,CAFFÈ MOCHA,9.55,2,credit card,4413861469117566,279-94-1900
2023-04-01 08:54:14,drinks,CAFFÈ LATTE,8.99,2,credit card,4109033570712494325,059-60-8333
2023-04-01 08:54:30,drinks,ESPRESSO,7.99,1,cash,-,059-60-8333
2023-04-01 08:57:49,drinks,CAFFÈ MOCHA,9.55,1,credit card,4058502809676289,279-94-1900
2023-04-01 08:57:54,drinks,ESPRESSO,7.99,3,cash,-,059-60-8333
2023-04-01 09:01:45,sandwiches,ROAST BEEF SANDWICH,5.99,1,credit card,180091922709911,059-60-8333
2023-04-01 09:03:24,sandwiches,EGG SANDWICH,5.99,2,credit card,3500249912710011,279-94-1900
2023-04-01 09:04:34,drinks,CAFFÈ LATTE,8.99,1,cash,-,813-95-6575
2023-04-01 09:05:17,drinks,FRAPPÉ,11.05,2,cash,-,813-95-6575
2023-04-01 09:11:39,drinks,ESPRESSO,7.99,1,credit card,4715689586765,059-60-8333
2023-04-01 09:12:58,drinks,ESPRESSO,7.99,1,cash,-,813-95-6575
2023-04-01 09:19:26,sandwiches,ROAST BEEF SANDWICH,5.99,2,credit card,180079753889795,059-60-8333
2023-04-01 09:20:39,sandwiches,EGG SANDWICH,5.99,2,credit card,3521695483823671,813-95-6575
2023-04-01 09:21:14,drinks,CAFFÈ LATTE,8.99,2,credit card,2719432839415646,279-94-1900
2023-04-01 09:23:21,sandwiches,NUTELLA SANDWICH,5.99,2,credit card,6011783631146359,813-95-6575
2023-04-01 09:27:31,drinks,ESPRESSO,7.99,1,cash,-,813-95-6575
2023-04-01 09:27:51,drinks,CAFFÈ MOCHA,9.55,1,cash,-,059-60-8333
2023-04-01 09:30:28,sandwiches,NUTELLA SANDWICH,5.99,3,cash,-,059-60-8333
2023-04-01 09:32:31,sandwiches,NUTELLA SANDWICH,5.99,1,credit card,4757577054305069,279-94-1900
2023-04-01 09:33:19,drinks,ESPRESSO,7.99,2,credit card,4151179584062773,813-95-6575
2023-04-01 09:36:00,sandwiches,ROAST BEEF SANDWICH,5.99,2,cash,-,059-60-8333
2023-04-01 09:37:31,drinks,FRAPPÉ,11.05,3,cash,-,279-94-1900
2023-04-01 09:38:18,sandwiches,NUTELLA SANDWICH,5.99,2,credit card,4191123942867137,059-60-8333
2023-04-01 09:40:39,sandwiches,NUTELLA SANDWICH,5.99,2,credit card,2225167353801378,059-60-8333
2023-04-01 09:42:14,drinks,CAFFÈ MOCHA,9.55,2,credit card,676168390612,059-60-8333
2023-04-01 09:42:40,sandwiches,EGG SANDWICH,5.99,1,cash,-,813-95-6575
2023-04-01 09:44:25,drinks,ICED MOCHA,10.99,1,credit card,4237240444731,059-60-8333
2023-04-01 09:46:12,drinks,CAFFÈ LATTE,8.99,1,credit card,3546754508090682,813-95-6575
2023-04-01 09:46:18,sandwiches,GRILLED CHEESE,5.99,2,credit card,6011266147234885,279-94-1900
2023-04-01 09:53:58,drinks,CAPPUCCINO,9.99,1,cash,-,279-94-1900
2023-04-01 09:57:15,sandwiches,ROAST BEEF SANDWICH,5.99,1,credit card,2708796382806531,813-95-6575
2023-04-01 09:58:14,sandwiches,GRILLED CHEESE,5.99,1,credit card,3584694766991309,813-95-6575
2023-04-01 09:58:19,sandwiches,NUTELLA SANDWICH,5.99,1,credit card,30183609233471,279-94-1900
2023-04-01 10:00:05,drinks,ESPRESSO,7.99,2,cash,-,813-95-6575
2023-04-01 10:00:08,drinks,ICED MOCHA,10.99,3,cash,-,279-94-1900
2023-04-01 10:01:10,drinks,CAFFÈ LATTE,8.99,2,cash,-,059-60-8333
2023-04-01 10:02:33,sandwiches,EGG SANDWICH,5.99,2,cash,-,059-60-8333
2023-04-01 10:05:57,drinks,ICED MOCHA,10.99,1,credit card,676269310899,813-95-6575
2023-04-01 10:06:47,sandwiches,ROAST BEEF SANDWICH,5.99,3,cash,-,279-94-1900
2023-04-01 10:07:20,drinks,FRAPPÉ,11.05,2,credit card,6521514745996303,813-95-6575
2023-04-01 10:10:55,drinks,ESPRESSO,7.99,2,credit card,343195961804238,279-94-1900
2023-04-01 10:11:30,drinks,ICED MOCHA,10.99,2,credit card,371765461076845,059-60-8333
2023-04-01 10:13:04,sandwiches,NUTELLA SANDWICH,5.99,2,cash,-,813-95-6575
2023-04-01 10:13:23,drinks,CAPPUCCINO,9.99,1,credit card,639029877912,813-95-6575
2023-04-01 10:17:55,drinks,ESPRESSO,7.99,2,credit card,3567863718081151,813-95-6575
2023-04-01 10:20:13,sandwiches,ROAST BEEF SANDWICH,5.99,2,credit card,4071571834441236,813-95-6575
2023-04-01 10:20:48,drinks,FRAPPÉ,11.05,2,credit card,4522981062028230,059-60-8333
2023-04-01 10:21:22,sandwiches,EGG SANDWICH,5.99,2,credit card,6011282697743886,813-95-6575
2023-04-01 10:23:34,sandwiches,NUTELLA SANDWICH,5.99,1,credit card,4631022570716948025,059-60-8333
2023-04-01 10:24:19,sandwiches,ROAST BEEF SANDWICH,5.99,2,credit card,30457263620227,813-95-6575
2023-04-01 10:25:23,sandwiches,ROAST BEEF SANDWICH,5.99,2,credit card,4259797224490822,279-94-1900
2023-04-01 10:25:36,sandwiches,NUTELLA SANDWICH,5.99,2,credit card,213122695575105,059-60-8333
2023-04-01 10:27:21,drinks,CAFFÈ MOCHA,9.55,2,cash,-,279-94-1900
2023-04-01 10:27:38,sandwiches,ROAST BEEF SANDWICH,5.99,2,cash,-,813-95-6575
2023-04-01 10:27:56,sandwiches,GRILLED CHEESE,5.99,1,cash,-,279-94-1900
2023-04-01 10:34:47,drinks,CAFFÈ MOCHA,9.55,3,credit card,6534407935544642,279-94-1900
2023-04-01 10:34:53,drinks,ICED MOCHA,10.99,1,credit card,6541596276801388,279-94-1900
2023-04-01 10:35:07,drinks,ESPRESSO,7.99,2,credit card,340957620350934,059-60-8333
2023-04-01 10:36:25,drinks,ICED MOCHA,10.99,1,cash,-,279-94-1900
2023-04-01 10:38:25,drinks,CAFFÈ LATTE,8.99,2,credit card,3535844432363934,279-94-1900
2023-04-01 10:39:48,drinks,ESPRESSO,7.99,1,credit card,4187276550692654,813-95-6575
2023-04-01 10:42:40,sandwiches,EGG SANDWICH,5.99,2,cash,-,813-95-6575
2023-04-01 10:42:40,drinks,CAFFÈ LATTE,8.99,2,cash,-,059-60-8333
2023-04-01 10:44:27,drinks,ICED MOCHA,10.99,1,credit card,6011274568945815,813-95-6575
2023-04-01 10:44:50,drinks,CAFFÈ LATTE,8.99,1,cash,-,279-94-1900
2023-04-01 10:45:59,drinks,FRAPPÉ,11.05,1,credit card,213161322684708,813-95-6575
2023-04-01 10:46:28,sandwiches,NUTELLA SANDWICH,5.99,3,cash,-,279-94-1900
2023-04-01 10:46:36,sandwiches,GRILLED CHEESE,5.99,1,credit card,4347690815965,059-60-8333
2023-04-01 10:46:54,drinks,CAPPUCCINO,9.99,1,credit card,6543231013123809,059-60-8333
2023-04-01 10:47:34,drinks,CAFFÈ LATTE,8.99,3,credit card,3568118534789035,813-95-6575
2023-04-01 10:47:42,sandwiches,ROAST BEEF SANDWICH,5.99,2,credit card,4371254593818,813-95-6575
2023-04-01 10:49:54,sandwiches,GRILLED CHEESE,5.99,1,credit card,4260175567979304,059-60-8333
2023-04-01 10:50:14,sandwiches,EGG SANDWICH,5.99,2,credit card,2720141261819731,059-60-8333
2023-04-01 10:51:33,sandwiches,NUTELLA SANDWICH,5.99,1,cash,-,059-60-8333
2023-04-01 10:51:53,drinks,FRAPPÉ,11.05,1,cash,-,059-60-8333
2023-04-01 10:52:34,drinks,FRAPPÉ,11.05,1,cash,-,059-60-8333
2023-04-01 10:52:56,drinks,ICED MOCHA,10.99,2,cash,-,279-94-1900
2023-04-01 10:56:50,sandwiches,GRILLED CHEESE,5.99,1,credit card,4101100373019502,279-94-1900
2023-04-01 10:56:57,drinks,FRAPPÉ,11.05,3,credit card,4199807936255349,059-60-8333
2023-04-01 10:59:00,sandwiches,NUTELLA SANDWICH,5.99,1,credit card,6011224644498610,279-94-1900
2023-04-01 11:00:30,drinks,CAFFÈ LATTE,8.99,1,credit card,4042748467840,059-60-8333
2023-04-01 11:00:55,drinks,CAFFÈ LATTE,8.99,1,credit card,180074845226726,279-94-1900
2023-04-01 11:01:55,sandwiches,ROAST BEEF SANDWICH,5.99,1,credit card,4037297529830516,059-60-8333
2023-04-01 11:02:59,sandwiches,EGG SANDWICH,5.99,1,credit card,6011982304047403,059-60-8333
2023-04-01 11:05:45,drinks,CAPPUCCINO,9.99,1,credit card,3585992334850653,279-94-1900
2023-04-01 11:07:10,drinks,ESPRESSO,7.99,1,credit card,3579621285255368,279-94-1900
2023-04-01 11:07:22,sandwiches,GRILLED CHEESE,5.99,1,cash,-,813-95-6575
2023-04-01 11:09:31,sandwiches,ROAST BEEF SANDWICH,5.99,1,credit card,3509174797274811,279-94-1900
2023-04-01 11:11:13,sandwiches,EGG SANDWICH,5.99,1,credit card,213193379298397,279-94-1900
2023-04-01 11:11:50,sandwiches,NUTELLA SANDWICH,5.99,2,credit card,4693617765449277988,059-60-8333
2023-04-01 11:13:34,sandwiches,NUTELLA SANDWICH,5.99,2,credit card,6513457380100205,059-60-8333
2023-04-01 11:13:48,sandwiches,EGG SANDWICH,5.99,3,credit card,4645187376130,813-95-6575
2023-04-01 11:13:49,sandwiches,ROAST BEEF SANDWICH,5.99,1,credit card,346747131651621,813-95-6575
2023-04-01 11:16:10,sandwiches,NUTELLA SANDWICH,5.99,2,cash,-,279-94-1900
2023-04-01 11:17:38,sandwiches,NUTELLA SANDWICH,5.99,3,credit card,4472080922747020514,279-94-1900
2023-04-01 11:18:02,drinks,FRAPPÉ,11.05,2,credit card,5585495766823003,813-95-6575
2023-04-01 11:18:48,drinks,CAPPUCCINO,9.99,1,credit card,639058689527,279-94-1900
2023-04-01 11:21:29,drinks,ICED MOCHA,10.99,1,cash,-,813-95-6575
2023-04-01 11:23:03,drinks,ICED MOCHA,10.99,1,credit card,3542520240980389,279-94-1900
2023-04-01 11:23:33,sandwiches,ROAST BEEF SANDWICH,5.99,1,credit card,180040495968487,059-60-8333
2023-04-01 11:27:12,drinks,CAPPUCCINO,9.99,1,credit card,6011635103008220,279-94-1900
2023-04-01 11:27:17,sandwiches,EGG SANDWICH,5.99,1,credit card,3583155969694133,813-95-6575
2023-04-01 11:28:18,drinks,FRAPPÉ,11.05,1,cash,-,059-60-8333
2023-04-01 11:28:45,sandwiches,EGG SANDWICH,5.99,1,cash,-,813-95-6575
2023-04-01 11:29:32,sandwiches,ROAST BEEF SANDWICH,5.99,2,credit card,2243168071803355,059-60-8333
2023-04-01 11:29:48,sandwiches,ROAST BEEF SANDWICH,5.99,1,credit card,4262958824770063,813-95-6575
2023-04-01 11:29:50,sandwiches,GRILLED CHEESE,5.99,2,cash,-,279-94-1900
2023-04-01 11:31:57,drinks,CAFFÈ LATTE,8.99,2,credit card,4072707818352,059-60-8333
2023-04-01 11:34:24,drinks,CAPPUCCINO,9.99,1,cash,-,279-94-1900
2023-04-01 11:34:44,sandwiches,ROAST BEEF SANDWICH,5.99,2,credit card,4976732430035,813-95-6575
2023-04-01 11:38:28,drinks,CAFFÈ LATTE,8.99,1,credit card,3542594356686320,813-95-6575
2023-04-01 11:38:28,drinks,CAFFÈ LATTE,8.99,1,credit card,4529988319295467421,813-95-6575
2023-04-01 11:38:37,drinks,ESPRESSO,7.99,1,cash,-,059-60-8333
2023-04-01 11:38:45,sandwiches,ROAST BEEF SANDWICH,5.99,3,credit card,4365098197787281,059-60-8333
2023-04-01 11:40:57,sandwiches,NUTELLA SANDWICH,5.99,1,cash,-,279-94-1900
2023-04-01 11:41:29,sandwiches,NUTELLA SANDWICH,5.99,3,cash,-,813-95-6575
2023-04-01 11:44:38,sandwiches,EGG SANDWICH,5.99,2,cash,-,059-60-8333
2023-04-01 11:44:39,sandwiches,NUTELLA SANDWICH,5.99,2,cash,-,813-95-6575
2023-04-01 11:45:37,drinks,CAPPUCCINO,9.99,2,credit card,5289988691546276,059-60-8333
2023-04-01 11:46:32,sandwiches,ROAST BEEF SANDWICH,5.99,3,credit card,503874361150,279-94-1900
2023-04-01 11:47:39,drinks,FRAPPÉ,11.05,2,credit card,3544872041456020,059-60-8333
2023-04-01 11:47:45,sandwiches,ROAST BEEF SANDWICH,5.99,2,cash,-,813-95-6575
2023-04-01 11:48:32,sandwiches,GRILLED CHEESE,5.99,2,cash,-,279-94-1900
2023-04-01 11:51:04,sandwiches,GRILLED CHEESE,5.99,2,credit card,3544430779642913,279-94-1900
2023-04-01 11:52:22,sandwiches,EGG SANDWICH,5.99,3,credit card,345592735860868,813-95-6575
2023-04-01 11:52:28,sandwiches,GRILLED CHEESE,5.99,1,credit card,4532061882674,059-60-8333
2023-04-01 11:52:55,sandwiches,ROAST BEEF SANDWICH,5.99,1,credit card,4834218588346504,059-60-8333
2023-04-01 11:53:07,sandwiches,ROAST BEEF SANDWICH,5.99,3,cash,-,279-94-1900
2023-04-01 11:53:33,sandwiches,EGG SANDWICH,5.99,2,credit card,639095399403,279-94-1900
2023-04-01 11:53:52,sandwiches,NUTELLA SANDWICH,5.99,1,credit card,6011120096256540,813-95-6575
2023-04-01 11:55:37,sandwiches,NUTELLA SANDWICH,5.99,2,credit card,560615817379,813-95-6575
2023-04-01 11:57:45,drinks,CAFFÈ LATTE,8.99,2,credit card,4134369839529302,279-94-1900
2023-04-01 11:59:30,sandwiches,NUTELLA SANDWICH,5.99,1,cash,-,813-95-6575
2023-04-01 12:01:10,sandwiches,EGG SANDWICH,5.99,2,cash,-,059-60-8333
2023-04-01 12:01:32,sandwiches,GRILLED CHEESE,5.99,1,credit card,3552676144883967,059-60-8333
2023-04-01 12:03:38,drinks,CAFFÈ LATTE,8.99,1,credit card,4885267589126611,813-95-6575
2023-04-01 12:03:41,sandwiches,NUTELLA SANDWICH,5.99,1,cash,-,059-60-8333
2023-04-01 12:04:02,sandwiches,NUTELLA SANDWICH,5.99,2,credit card,213146785341441,279-94-1900
2023-04-01 12:04:14,drinks,CAFFÈ LATTE,8.99,1,cash,-,813-95-6575
2023-04-01 12:05:58,sandwiches,EGG SANDWICH,5.99,2,cash,-,813-95-6575
